"id (S)","city (S)","date (S)","lat (S)","lng (S)","name (S)","pm10 (S)","pm10ss (S)","pm25 (S)","pm25ss (S)","status (S)","temp (S)","tempss (S)","ts (S)","error (S)","humid (S)","press (S)","hour (S)"
"42.8460000074.637000002020-03-24T10:48:45.363217","Бишкек","2019-09-29 07:30:01","42.84600000","74.63700000","Кок-Жар","-1","28","-1","26","active","-1","0","2020-03-24T10:48:45.363217",,,,
"43.1740000076.917000002020-03-23T21:48:45.405693","Алматы","2020-03-24 03:45:01","43.17400000","76.91700000","Ерменсай","26","43","23","35","active","0","0","2020-03-23T21:48:45.405693",,,,
"43.174076.91702020-04-09T03:48:45.269495","Алматы","2020-04-09 09:45:01","43.1740","76.9170","Ерменсай","3","30","3","25","active","0","0","2020-04-09T03:48:45.269495","0","0","0",
"43.1770000076.943000002020-03-25T04:48:45.166526","Алматы","2018-04-23 21:05:14","43.17700000","76.94300000","Горная Долина","-1","8","-1","7","closed","-1","0","2020-03-25T04:48:45.166526",,,,
"43.1770000076.943000002020-04-06T21:48:45.189329","Алматы","2018-04-23 21:05:14","43.17700000","76.94300000","Горная Долина","-1","8","-1","7","closed","-1","0","2020-04-06T21:48:45.189329",,,,
"43.1770000076.966000002020-03-26T21:48:44.879710","Алматы","2020-03-27 03:45:01","43.17700000","76.96600000","Каменское плато","34","51","30","41","active","0","0","2020-03-26T21:48:44.879710",,,,
"43.1770000076.966000002020-04-03T06:48:44.992567","Алматы","2020-04-03 12:45:01","43.17700000","76.96600000","Каменское плато","64","16","49","14","active","0","0","2020-04-03T06:48:44.992567",,,,
"43.177076.94302020-04-10T06:48:45.511124","Алматы","2018-04-23 21:05:14","43.1770","76.9430","Горная Долина","-1","8","-1","7","closed","0","0","2020-04-10T06:48:45.511124","0","0","0",
"43.177076.94302020-04-11T03:48:44.936695","Алматы","2018-04-23 21:05:14","43.1770","76.9430","Горная Долина","-1","8","-1","7","closed","0","0","2020-04-11T03:48:44.936695","0","0","0",
"43.177076.96602020-04-11T07:48:44.776766","Алматы","2020-04-11 13:45:01","43.1770","76.9660","Каменское плато","62","39","48","32","active","0","0","2020-04-11T07:48:44.776766","0","0","0",
"43.185576.87162020-04-09T18:48:44.882623","Алматы","2020-04-10 00:45:02","43.1855","76.8716","ул.Аскарова (AUA)","15","10","13","9","active","0","0","2020-04-09T18:48:44.882623","0","0","0",
"43.185576.87162020-04-09T20:48:45.283351","Алматы","2020-04-10 02:45:01","43.1855","76.8716","ул.Аскарова (AUA)","3","8","3","7","active","0","0","2020-04-09T20:48:45.283351","0","0","0",
"43.1890000076.868000002020-04-05T18:48:44.959627","Алматы","2019-01-16 14:34:45","43.18900000","76.86800000","Аскарова","-1","0","-1","141","closed","-1","-4","2020-04-05T18:48:44.959627",,,,
"43.189076.86802020-04-11T00:48:45.061467","Алматы","2019-01-16 14:34:45","43.1890","76.8680","Аскарова","-1","0","-1","141","closed","0","-4","2020-04-11T00:48:45.061467","0","0","0",
"43.1930530076.807890002020-04-06T12:50:07.575611","Алматы","2020-03-26 17:30:01","43.19305300","76.80789000","Алатау","-1","16","-1","15","active","-1","0","2020-04-06T12:50:07.575611",,,,
"43.1930530076.807890002020-04-07T10:48:45.235913","Алматы","2020-03-26 17:30:01","43.19305300","76.80789000","Алатау","-1","16","-1","15","active","-1","0","2020-04-07T10:48:45.235913",,,,
"43.193176.80792020-04-10T02:48:45.330544","Алматы","2020-03-26 17:30:01","43.1931","76.8079","Алатау","-1","16","-1","15","active","0","0","2020-04-10T02:48:45.330544","0","0","0",
"43.193176.80792020-04-11T02:48:44.963684","Алматы","2020-03-26 17:30:01","43.1931","76.8079","Алатау","-1","16","-1","15","active","0","0","2020-04-11T02:48:44.963684","0","0","0",
"43.195076.91502020-04-12T01:48:45.043756","Алматы","2018-09-01 12:05:10","43.1950","76.9150","Баганашыл","-1","11","-1","10","closed","0","0","2020-04-12T01:48:45.043756","0","0","0",
"43.2060000076.900000002020-04-05T20:48:45.156572","Алматы","2020-04-06 02:45:02","43.20600000","76.90000000","KazGU2","13","24","11","21","active","0","0","2020-04-05T20:48:45.156572",,,,
"43.213076.84602020-04-09T04:48:45.029928","Алматы","2020-04-09 10:45:01","43.2130","76.8460","Мамыр 1 (AUA)","9","32","8","26","active","0","0","2020-04-09T04:48:45.029928","0","0","0",
"43.213076.84602020-04-13T05:50:11.837795","Алматы","2020-04-13 11:50:01","43.2130","76.8460","Мамыр 1 (AUA)","28","45","36.5167","38","active","0","0","2020-04-13T05:50:11.837795","0","0","0","0"
"43.2140000076.750000002020-03-28T23:48:45.643862","Алматы","2019-12-26 22:30:01","43.21400000","76.75000000","Абай","-1","367","-1","332","active","-1","0","2020-03-28T23:48:45.643862",,,,
"43.2140000076.893000002020-03-27T01:48:45.283299","Алматы","2020-03-27 07:45:01","43.21400000","76.89300000","Розыбакиева - Байкадамова","59","57","45","46","active","0","0","2020-03-27T01:48:45.283299",,,,
"43.2140000076.893000002020-04-04T17:48:45.401982","Алматы","2020-04-04 23:45:02","43.21400000","76.89300000","Розыбакиева - Байкадамова","25","22","23","19","active","0","0","2020-04-04T17:48:45.401982",,,,
"43.214076.75002020-04-12T06:48:44.851605","Алматы","2019-12-26 22:30:01","43.2140","76.7500","Абай","-1","367","-1","332","closed","0","0","2020-04-12T06:48:44.851605","0","0","0",
"43.214076.89302020-04-10T08:48:44.884736","Алматы","2020-04-10 14:45:01","43.2140","76.8930","Розыбакиева - Байкадамова","29","19","25","16","active","0","0","2020-04-10T08:48:44.884736","0","0","0",
"43.2160000076.848000002020-03-25T22:48:45.319476","Алматы","2020-03-19 16:30:01","43.21600000","76.84800000","Мамыр","-1","60","-1","47","active","-1","0","2020-03-25T22:48:45.319476",,,,
"43.2160000076.848000002020-03-26T21:48:44.879710","Алматы","2020-03-19 16:30:01","43.21600000","76.84800000","Мамыр","-1","60","-1","47","active","-1","0","2020-03-26T21:48:44.879710",,,,
"43.2160000076.848000002020-04-06T09:48:47.306814","Алматы","2020-04-06 15:45:01","43.21600000","76.84800000","Мамыр","31","24","27","21","active","0","0","2020-04-06T09:48:47.306814",,,,
"43.2160000076.848000002020-04-07T07:49:01.422875","Алматы","2020-04-07 13:45:01","43.21600000","76.84800000","Мамыр","57","39","44","33","active","0","0","2020-04-07T07:49:01.422875",,,,
"43.2230000076.919000002020-03-27T18:48:44.938478","Алматы","2020-03-28 00:45:01","43.22300000","76.91900000","KazGU1","63","63","50","50","active","0","0","2020-03-27T18:48:44.938478",,,,
"43.2240000076.938000002020-03-26T21:48:44.879710","Алматы","2020-03-27 03:45:01","43.22400000","76.93800000","Альфараби - Маркова","74","61","56","48","active","0","0","2020-03-26T21:48:44.879710",,,,
"43.224076.93802020-04-08T21:48:45.400017","Алматы","2020-04-09 03:45:01","43.2240","76.9380","Альфараби - Маркова","33","45","29","37","active","6","7","2020-04-08T21:48:45.400017","0","0","684",
"43.224076.93802020-04-11T20:48:44.743692","Алматы","2020-04-12 02:30:01","43.2240","76.9380","Альфараби - Маркова","-1","65","-1","51","active","0","10","2020-04-11T20:48:44.743692","0","0","0",
"43.2300000076.932600002020-03-24T17:48:45.336073","Алматы","2020-03-24 23:45:01","43.23000000","76.93260000","Dual1","30","22","27","20","active","0","0","2020-03-24T17:48:45.336073",,,,
"43.2300000076.932600002020-03-26T12:48:45.163875","Алматы","2020-03-26 18:45:01","43.23000000","76.93260000","Dual1","72","41","58","36","active","0","0","2020-03-26T12:48:45.163875",,,,
"43.2300000076.932600002020-03-29T11:48:44.909124","Алматы","2020-03-29 17:45:01","43.23000000","76.93260000","Dual1","25","29","22","26","active","0","0","2020-03-29T11:48:44.909124",,,,
"43.2310000076.754000002020-03-26T07:48:46.155263","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-03-26T07:48:46.155263",,,,
"43.2310000076.754000002020-04-03T04:48:44.967231","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-04-03T04:48:44.967231",,,,
"43.2310000076.754000002020-04-05T19:48:45.138131","Алматы","2019-01-16 14:36:32","43.23100000","76.75400000","ЖК ""Асыл Арман""","-1","0","-1","11","closed","-1","-5","2020-04-05T19:48:45.138131",,,,
