"ts (S)","aqicn (N)","aqius (N)","maincn (S)","mainus (S)","p2 (M)","city (S)"
"2020-03-21T07:00:00.000Z","83","154","p2","p2","{  ""aqicn"" : { ""N"" : ""83"" },  ""aqius"" : { ""N"" : ""154"" },  ""conc"" : { ""N"" : ""61.6"" }}",
"2020-03-21T11:00:00.000Z","38","81","p2","p2","{  ""aqicn"" : { ""N"" : ""38"" },  ""aqius"" : { ""N"" : ""81"" },  ""conc"" : { ""N"" : ""26.5"" }}",
"2020-03-21T15:00:00.000Z","31","71","p2","p2","{  ""aqicn"" : { ""N"" : ""31"" },  ""aqius"" : { ""N"" : ""71"" },  ""conc"" : { ""N"" : ""21.6"" }}",
"2020-03-21T17:00:00.000Z","23","60","p2","p2","{  ""aqicn"" : { ""N"" : ""23"" },  ""aqius"" : { ""N"" : ""60"" },  ""conc"" : { ""N"" : ""16.3"" }}",
"2020-03-21T19:00:00.000Z","9","27","p2","p2","{  ""aqicn"" : { ""N"" : ""9"" },  ""aqius"" : { ""N"" : ""27"" },  ""conc"" : { ""N"" : ""6.6"" }}",
"2020-03-21T20:00:00.000Z","5","15","p2","p2","{  ""aqicn"" : { ""N"" : ""5"" },  ""aqius"" : { ""N"" : ""15"" },  ""conc"" : { ""N"" : ""3.7"" }}",
"2020-03-22T01:00:00.000Z","5","16","p2","p2","{  ""aqicn"" : { ""N"" : ""5"" },  ""aqius"" : { ""N"" : ""16"" },  ""conc"" : { ""N"" : ""3.8"" }}",
"2020-03-22T04:00:00.000Z","11","31","p2","p2","{  ""aqicn"" : { ""N"" : ""11"" },  ""aqius"" : { ""N"" : ""31"" },  ""conc"" : { ""N"" : ""7.5"" }}",
"2020-03-22T16:00:00.000Z","63","126","p2","p2","{  ""aqicn"" : { ""N"" : ""63"" },  ""aqius"" : { ""N"" : ""126"" },  ""conc"" : { ""N"" : ""45.6"" }}",
"2020-03-22T23:00:00.000Z","27","65","p2","p2","{  ""aqicn"" : { ""N"" : ""27"" },  ""aqius"" : { ""N"" : ""65"" },  ""conc"" : { ""N"" : ""18.6"" }}",
"2020-03-23T00:00:00.000Z","10","28","p2","p2","{  ""aqicn"" : { ""N"" : ""10"" },  ""aqius"" : { ""N"" : ""28"" },  ""conc"" : { ""N"" : ""6.7"" }}",
"2020-03-23T09:00:00.000Z","38","81","p2","p2","{  ""aqicn"" : { ""N"" : ""38"" },  ""aqius"" : { ""N"" : ""81"" },  ""conc"" : { ""N"" : ""26.6"" }}",
"2020-03-23T21:00:00.000Z","32","72","p2","p2","{  ""aqicn"" : { ""N"" : ""32"" },  ""aqius"" : { ""N"" : ""72"" },  ""conc"" : { ""N"" : ""22.2"" }}","Astana"
"2020-03-24T05:00:00.000Z","12","34","p2","p2","{  ""aqicn"" : { ""N"" : ""12"" },  ""aqius"" : { ""N"" : ""34"" },  ""conc"" : { ""N"" : ""8.2"" }}","Astana"
